path,determination_by_human,details_if_checked_by_hand,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM10/wp/ATCM10_wp016_e.txt,none illegible,,52997,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp017_e.txt,none illegible,,22996,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp018_e.txt,none illegible,,11735,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp019_e.txt,none illegible,,6792,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp020_e.txt,some illegible,,67219,0,5,2,2.9753492316160608e-05,,geogr?cal | wh?le
atsd_secretariat_database/ATCM10/wp/ATCM10_wp021_e.txt,none illegible,,17050,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp022_e.txt,none illegible,,6753,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp023_e.txt,none illegible,,3277,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_e.txt,none illegible,,4094,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_rev1_e.txt,none illegible,,6100,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp024_rev2_e.txt,none illegible,,15458,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_e.txt,none illegible,,4717,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev1_e.txt,none illegible,,5066,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev2_e.txt,none illegible,,15125,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev3_e.txt,none illegible,,12502,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev4_e.txt,none illegible,,10263,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp026_e.txt,none illegible,,9966,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp027_e.txt,none illegible,,4864,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp028_e.txt,none illegible,,4567,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp028_rev1_e.txt,none illegible,,9637,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp029_e.txt,none illegible,,3155,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_e.txt,none illegible,,8936,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_rev1_e.txt,none illegible,,5992,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_rev2_e.txt,none illegible,,4555,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp031_e.txt,none illegible,,1909,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp031_rev1_e.txt,none illegible,,2031,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp032_e.txt,none illegible,,5609,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp032_rev1_e.txt,none illegible,,5476,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp033_e.txt,none illegible,,4782,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp034_e.txt,none illegible,,2525,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp035_e.txt,none illegible,,2300,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp036_e.txt,none illegible,,3491,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp036_rev1_e.txt,none illegible,,2912,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp037_e.txt,none illegible,,2776,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp038_e.txt,none illegible,,2680,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp039_e.txt,none illegible,,9269,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp039_rev1_e.txt,none illegible,,26148,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_e.txt,none illegible,,4322,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev1_e.txt,none illegible,,4578,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev2_e.txt,none illegible,,4596,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev3_e.txt,none illegible,,5052,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp041_e.txt,none illegible,,26496,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp042_e.txt,none illegible,,3588,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp043_e.txt,none illegible,,1720,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp043_rev1_e.txt,none illegible,,1596,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp044_e.txt,none illegible,,1944,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp046_e.txt,none illegible,,3349,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp047_e.txt,none illegible,,7997,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp047_rev1_e.txt,none illegible,,3195,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_e.txt,none illegible,,7461,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_rev1_e.txt,none illegible,,7605,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_rev2_e.txt,none illegible,,7463,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp049_e.txt,some illegible,one footnote repeated issues,14914,13,13,0,0.0008716642081265,g[?]ou[?] | he[?]e | j[?]n | 'w[?]us | Repor[?]. | footnot[?] | d[?]gum[?] | w[?] | Comm[?] | q[?]en | ref[?]nd,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp050_e.txt,none illegible,,14965,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp051_e.txt,none illegible,,3048,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp051_rev1_e.txt,none illegible,,3001,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp052_e.txt,none illegible,,1879,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp052_rev1_e.txt,none illegible,,1982,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip002_e.txt,some illegible,large number of illegible characters in footnotes to a data table (in Spanish),14491,65,69,2,0.0046235594506935,[?]a[?] | Nav[?]gac[?]o[?] | In[?]icac[?]o[?]es | indicac[?]o[?]es | [?]e[?] | a[?]r[?]p[?]cto | de[?]e[?] | A[?]TOM[A?]ICA[s] | [?]on[?] | [?]e[?]ac[?]o[?]e[?]. | [?]eve[?]r[?]r | [?]ealiza[?]o[?] | hora[?]: | a[?] | Se[?] | [?]ir | Se[?]reg[?] | N[?]R[?] | Al[?]V | ind[?]c[?] | [?]i[?]m[?] | [?]i[?]to | Oca[?]do | [?]i[?]tac[?]o[?]es | ha[?] | valor[?] | 10[?]0 | meteorolo[?]ic[?]s,MOLO?DEZHNAYA | Metecrc?logical
atsd_secretariat_database/ATCM11/ip/ATCM11_ip003_e.txt,none illegible,,45090,0,4,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip004_e.txt,none illegible,,4393,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip005_e.txt,none illegible,,2271,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip007_e.txt,none illegible,,1551,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip014_e.txt,none illegible,,5122,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip026_e.txt,none illegible,,3916,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip032_e.txt,none illegible,,2881,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip033_e.txt,none illegible,,5337,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp001_e.txt,none illegible,,1920,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp002_s.txt,some illegible,,13529,2,6,2,0.0002956611722965,C[?]FOS | PRESID[?]NTE,BEHRE?NDT | E?tado
atsd_secretariat_database/ATCM11/wp/ATCM11_wp003_e.txt,none illegible,,12162,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp004_e.txt,none illegible,,5268,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp005_e.txt,none illegible,,10119,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp006_e.txt,some illegible,,6906,2,2,0,0.0002896032435563,"scientif[?]ically | V[?]illarroel,",
atsd_secretariat_database/ATCM11/wp/ATCM11_wp007_e.txt,none illegible,,6361,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp008_e.txt,none illegible,,4230,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp009_e.txt,none illegible,,6356,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp010_e.txt,none illegible,,7054,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp011_e.txt,none illegible,,4311,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp012_e.txt,none illegible,,3727,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp013_e.txt,none illegible,,3497,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp014_e.txt,some illegible,,6613,0,2,1,0.000151217299259,,w?y
atsd_secretariat_database/ATCM11/wp/ATCM11_wp015_e.txt,none illegible,,5909,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp016_e.txt,none illegible,,6429,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp017_e.txt,some illegible,,5745,0,1,1,0.0001740644038294,,delit?rations.
atsd_secretariat_database/ATCM11/wp/ATCM11_wp018_e.txt,some illegible,,4844,2,2,0,0.000412881915772,accommo[?]date | Anta[?]ctic,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp019_e.txt,some illegible,one whole word (Russian name?) on final page illegible,5879,0,11,11,0.0018710665079095,,???????????
atsd_secretariat_database/ATCM11/wp/ATCM11_wp020_e.txt,none illegible,,3521,0,2,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp021_e.txt,none illegible,,11546,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp022_e.txt,none illegible,,7732,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp023_e.txt,none illegible,,787,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp024_e.txt,none illegible,,2713,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp025_e.txt,none illegible,,2255,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp026_e.txt,none illegible,,3754,0,0,0,0.0,,
