"path","contains_no_presumptive_language","check_original_doc_with_missing_content_by_hand","issue","nbr_words","reason_short_length","reason_high_propn_unknown","presumptive_language","reason_high_propn_known_non_presumptive","propn_presumptive","propn_known_non_presumptive","majority_language","propn_known_english","propn_known_spanish","propn_known_french","propn_known_russian","propn_english","propn_spanish","propn_french","propn_russian","propn_unknown","example_unknown_words"
"atsd_secretariat_database/ATCM41/wp/ATCM41_wp030_e.txt",,,,999,,,"English",,0.932932932932933,0.0321910695742471,"English",0.776047075112496,0.083939079266182,0.140013845621322,0,0.748081414748082,0.0809142475809142,0.134968301634968,0,0.036036036036036,"Birdlife paleoecology ASMAs HSM Lyver ASPAs Biogeographic Stonehouse geomorphology ACBR"
"atsd_secretariat_database/ATCM38/wp/ATCM38_wp009_e.txt",,,,939,,,"English",,0.929712460063898,0.0321507760532149,"English",0.757575757575758,0.0968218773096821,0.14560236511456,0,0.727724529641463,0.0930067447639332,0.139865104721335,0,0.0394036208732694,"HSM Ardery antarctica Odbert glacialoides Thalassoica redesignated Budd biosecurity Fulmarus"
"atsd_secretariat_database/ATCM34/ip/ATCM34_ip052_e.txt",,,,2445,,,"English",,0.898977505112474,0.0321444297666231,"English",0.744092176720973,0.0979010714809935,0.157786584470865,0.000220167327168649,0.69113837764144,0.0909338786639407,0.14655760054533,0.000204498977505112,0.0711656441717792,"Lagun biota benthic McClintock macroalgae ACCE ACC intra ATCM Bellingshausen"
"atsd_secretariat_database/ATCM40/wp/ATCM40_wp008_e.txt",,,,1076,,,"English",,0.952602230483271,0.0321057601510863,"English",0.745829398803903,0.101825621655649,0.152344979540447,0,0.734045848822801,0.100216852540272,0.149938042131351,0,0.0157992565055762,"CCAMLR Perchuć HSM Biogeographic geothermally ATCMXXXVIII ACBR SSSI"
"atsd_secretariat_database/ATCM38/wp/ATCM38_wp011_e.txt",,,,886,,,"English",,0.919864559819413,0.0320665083135394,"English",0.756730007917657,0.102335708630245,0.140934283452098,0,0.719149736644094,0.0972535741158765,0.133935289691497,0,0.0496613995485327,"nivea Oceanites Daption capense Scullin antarctica glacialoides Pagodroma Thalassoica Fulmarus"
"atsd_secretariat_database/ATCM45/ip/ATCM45_ip120_e.txt",,,,2682,,,"English",,0.900447427293065,0.0320641282565128,"English",0.748029392117567,0.0943219772879103,0.157648630594522,0,0.695873726075063,0.0877454635843903,0.146656723837931,0,0.06972408650261,"CEPXXV pre ponding ATCMXVL ASOC WMO ATCM IPCC archipelagoes SPM"
"atsd_secretariat_database/ATCM41/ip/ATCM41_ip038_e.txt",,,,169,,,"English",,0.893491124260355,0.0320512820512821,"English",0.797008547008547,0.0598290598290598,0.143162393162394,0,0.735700197238659,0.0552268244575937,0.132149901380671,0,0.0769230769230769,"dfat consalbnpet edu Depositary html ATCM ACAP austlii"
"atsd_secretariat_database/ATCM45/ip/ATCM45_ip066_e.txt",,,,926,,,"English",,0.913606911447084,0.0320366132723116,"English",0.759725400457667,0.0778032036613273,0.162471395881006,0,0.717062634989202,0.0734341252699785,0.153347732181425,0,0.0561555075593952,"literatures Nevins CCAMLR CEMP adeliae Pygocelis Southwell Frenot ATCM Hallett"
"atsd_secretariat_database/ATCM3/wp/ATCM3_wp028_e.txt",,,,126,,,"English",,0.96031746031746,0.0320000000000003,"English",0.774666666666667,0.0666666666666666,0.150666666666666,0.008,0.768518518518519,0.0661375661375661,0.149470899470899,0.00793650793650794,0.00793650793650794,"TROISIEME"
"atsd_secretariat_database/ATCM5/wp/ATCM5_wp003_rev2_e.txt",,,,126,,,"English",,0.96031746031746,0.0320000000000003,"English",0.796,0.072,0.124,0.00800000000000001,0.789682539682539,0.0714285714285714,0.123015873015873,0.00793650793650794,0.00793650793650794,"exeroise"
