path,nbr_characters,nbr_bracketed_illegible,nbr_total_qmarks,nbr_likely_illegible_qmarks,propn_total_illegible,example_bracketed_illegible,example_likely_illegible_qmarks
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev2_e.txt,15125,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev3_e.txt,12502,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp025_rev4_e.txt,10263,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp026_e.txt,9966,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp027_e.txt,4864,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp028_e.txt,4567,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp028_rev1_e.txt,9637,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp029_e.txt,3155,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_e.txt,8936,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_rev1_e.txt,5992,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp030_rev2_e.txt,4555,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp031_e.txt,1909,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp031_rev1_e.txt,2031,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp032_e.txt,5609,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp032_rev1_e.txt,5476,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp033_e.txt,4782,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp034_e.txt,2525,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp035_e.txt,2300,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp036_e.txt,3491,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp036_rev1_e.txt,2912,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp037_e.txt,2776,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp038_e.txt,2680,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp039_e.txt,9269,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp039_rev1_e.txt,26148,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_e.txt,4322,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev1_e.txt,4578,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev2_e.txt,4596,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp040_rev3_e.txt,5052,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp041_e.txt,26496,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp042_e.txt,3588,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp043_e.txt,1720,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp043_rev1_e.txt,1596,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp044_e.txt,1944,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp046_e.txt,3349,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp047_e.txt,7997,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp047_rev1_e.txt,3195,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_e.txt,7461,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_rev1_e.txt,7605,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp048_rev2_e.txt,7463,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp049_e.txt,14914,13,13,0,0.0008716642081265924,g[?]ou[?] | he[?]e | j[?]n | 'w[?]us | Repor[?]. | footnot[?] | d[?]gum[?] | w[?] | Comm[?] | q[?]en | ref[?]nd,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp050_e.txt,14965,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp051_e.txt,3048,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp051_rev1_e.txt,3001,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp052_e.txt,1879,0,0,0,0.0,,
atsd_secretariat_database/ATCM10/wp/ATCM10_wp052_rev1_e.txt,1982,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip002_e.txt,14491,65,69,2,0.004623559450693534,[?]a[?] | Nav[?]gac[?]o[?] | In[?]icac[?]o[?]es | indicac[?]o[?]es | [?]e[?] | a[?]r[?]p[?]cto | de[?]e[?] | A[?]TOM[A?]ICA[s] | [?]on[?] | [?]e[?]ac[?]o[?]e[?]. | [?]eve[?]r[?]r | [?]ealiza[?]o[?] | hora[?]: | a[?] | Se[?] | [?]ir | Se[?]reg[?] | N[?]R[?] | Al[?]V | ind[?]c[?] | [?]i[?]m[?] | [?]i[?]to | Oca[?]do | [?]i[?]tac[?]o[?]es | ha[?] | valor[?] | 10[?]0 | meteorolo[?]ic[?]s,MOLO?DEZHNAYA | Metecrc?logical
atsd_secretariat_database/ATCM11/ip/ATCM11_ip003_e.txt,45090,0,4,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip004_e.txt,4393,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip005_e.txt,2271,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip007_e.txt,1551,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip014_e.txt,5122,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip026_e.txt,3916,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip032_e.txt,2881,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/ip/ATCM11_ip033_e.txt,5337,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp001_e.txt,1920,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp002_s.txt,13529,2,6,2,0.00029566117229654814,C[?]FOS | PRESID[?]NTE,BEHRE?NDT | E?tado
atsd_secretariat_database/ATCM11/wp/ATCM11_wp003_e.txt,12162,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp004_e.txt,5268,0,0,0,0.0,,
atsd_secretariat_database/ATCM11/wp/ATCM11_wp005_e.txt,10119,0,0,0,0.0,,
